Longitude,Latitude
-96.092762,33.047576
-96.068889,33.370556
-95.9692,28.9825
-95.9672,28.6095
-95.94889,37.79889
-95.804435,30.300526
-95.7506,30.2092
-95.63862345,31.18590505
-95.618972,29.861419
-95.582884,29.948745
-95.570917,29.97354
-95.569794,29.537165
-95.565863,29.988652
-95.56468,29.838268
-95.534844,29.920846
-95.522824,29.826169
-95.51434,29.84308
-95.502972,29.975318
-95.500663,29.954334
-95.495044,29.821016
-95.48902,29.873781
-95.454408,29.966665
-95.447989,29.928221
-95.447896,29.764441
-95.405108,29.900059
-95.401447,29.71365
-95.40027174,29.83376906
-95.36306,29.76306
-95.32225,36.286616
-95.243889,29.423611
-95.235,38.9717
-95.185172,30.075317
-95.119896,29.563522
-95.103919,29.54013
-95.036414,30.686897
-94.9772,29.7353
-94.965833,32.995278
-94.81889,38.88139
-94.4275,31.2772
-94.4275,30.7568
-94.301601,35.325647
-94.297112,35.334954
-94.243889,31.943611
-94.206694,36.182574
-94.1761,30.5764
-94.139992,36.318473
-94.139918,36.318441
-93.11661992,16.75631878
-92.2866,14.886697
-92.2472,14.8942
-92.126728,32.51615
-92.024678,30.21387
-91.8618,15.6653
-91.077306,30.520386
-90.835233,29.790626
-90.835228,29.790616
-90.835223,29.790845
-90.536603,29.648613
-89.88167,39.27972
-89.033,39.017
-88.783611,33.271143
-88.736944,33.51
-88.7347,33.5068
-87.60403,30.26664
-87.5872,30.2699
-87.4273,30.2984
-87.4256,30.3266
-87.400159,39.470132
-86.606,32.2662
-86.4601,32.1087
-86.3966,32.3071
-85.8738,32.5436
-85.6457,32.4504
-85.1379,10.4835
-85.0956,10.3
-82.684217,27.438382
-82.659308,27.701676
-82.325,29.651944
-82.004167,29.739444
-81.983333,29.708056
-81.905127,28.994756
-81.90502,28.994784
-81.79509,24.58236
-81.7917,24.5542
-81.5417,27.4711
-81.352007,27.182843
-81.344167,27.26675
-81.2069,28.5925
-81.1939,28.6044
-81.007964,28.57089
-80.943,24.77
-80.2,25.1
-80.102,27.0104
-79.899036,32.751003
-77.54608,34.42711
